Name,Total Publications,Total Citations,Publications in Date Range,Citations in Date Range
Scott Ahlgren,55.0,684.0,5.0,16.0
Pierre Albin,23.0,244.0,4.0,37.0
Matthew Ando,22.0,361.0,1.0,18.0
Jozsef Balogh,160.0,1685.0,40.0,145.0
Yuliy Baryshnikov,70.0,483.0,5.0,1.0
Daniel Berwick-Evans,6.0,15.0,4.0,9.0
Florin P. Boca,53.0,592.0,5.0,6.0
Steven Bradlow,41.0,809.0,4.0,11.0
Jared Bronski,45.0,465.0,10.0,18.0
Lee DeVille,39.0,230.0,8.0,29.0
Partha Dey,,,,
Philippe Di Francesco,127.0,2109.0,11.0,25.0
Christopher Dodd,6.0,21.0,1.0,2.0
Nathan M. Dunfield,33.0,562.0,4.0,16.0
Sankar P. Dutta,39.0,239.0,1.0,0.0
Iwan M. Duursma,50.0,418.0,10.0,24.0
M. Burak Erdoğan,,,,
Runhuan Feng,31.0,135.0,7.0,6.0
Kevin Ford,93.0,764.0,13.0,19.0
Rosemary Guzman,3.0,3.0,1.0,1.0
William Haboush,18.0,151.0,1.0,3.0
Jeremiah Heller,17.0,90.0,7.0,20.0
Aimo Hinkkanen,101.0,677.0,7.0,6.0
Anil Hirani,17.0,286.0,3.0,3.0
Vera Mikyoung Hur,35.0,370.0,9.0,32.0
Sergei V Ivanov,,,,
Xiaochen Jing,2.0,6.0,0.0,0.0
Marius Junge,117.0,1718.0,22.0,57.0
Sheldon Katz,,,,
Rinat Kedem,45.0,561.0,2.0,6.0
Ely Kerman,21.0,243.0,3.0,4.0
Kay Kirkpatrick,18.0,232.0,5.0,1.0
Eduard-Wilhelm Kirr,19.0,199.0,0.0,0.0
Alexandr Kostochka,307.0,3078.0,43.0,137.0
Denka Kutzarova,85.0,611.0,10.0,19.0
Gabriele La Nave,18.0,151.0,8.0,7.0
Richard S. Laugesen,67.0,782.0,10.0,41.0
Felix Leditzky,12.0,68.0,6.0,14.0
Eugene M. Lerman,47.0,1297.0,4.0,10.0
Xiaochun Li,,,,
Rui Loja Fernandes,45.0,867.0,12.0,69.0
Randy McCarthy,27.0,368.0,0.0,0.0
Igor Mineyev,15.0,240.0,1.0,0.0
Igor Nikolaev,,,,
Timur Oikhberg,63.0,360.0,7.0,23.0
James Pascaleff,6.0,35.0,3.0,25.0
Frank Quan,31.0,241.0,2.0,0.0
Zoi Rapti,21.0,32.0,5.0,0.0
Charles Rezk,25.0,616.0,5.0,12.0
Bruce Reznick,69.0,991.0,6.0,15.0
Renming Song,144.0,2808.0,26.0,98.0
Richard B. Sowers,50.0,394.0,1.0,0.0
Vesna Stojanoska,17.0,81.0,7.0,14.0
Jesse Thorner,18.0,84.0,10.0,27.0
Susan Tolman,31.0,704.0,2.0,2.0
Alexander Tumanov,,,,
Jeremy Tyson,67.0,1324.0,8.0,18.0
Nikolaos Tzirakis,37.0,495.0,5.0,12.0
Alexander Yong,58.0,554.0,15.0,52.0
Alexandru Zaharescu,334.0,1558.0,25.0,22.0
Vadim Zharnitsky,43.0,290.0,4.0,0.0
Roy Araiza,1.0,0.0,1.0,0.0
Alexander Barron,5.0,5.0,5.0,2.0
Sean English,21.0,31.0,15.0,26.0
Reuven M Hodges,,,,
Elizabeth Kelley,6.0,7.0,4.0,1.0
Daesung Kim,,,,
Mao Li,,,,
Joey Palmer,,,,
Eric Griffin Samperton,,,,
Avery St Dizier,7.0,19.0,7.0,19.0
Zhao Yang,,,,
Jer-Chin Chuang,2.0,1.0,0.0,0.0
Paa Kow Cole,,,,
Theresa Dobbs (she/her),,,,
Jason Walter Elliot,,,,
Lena Folwaczny,1.0,19.0,0.0,0.0
Claudia Freiji,,,,
April Hoffmeister,,,,
Aldo Manfroi,,,,
Jennifer McNeilly,,,,
Karen Mortensen,8.0,35.0,0.0,0.0
Tayyab Nawaz,3.0,6.0,0.0,0.0
Sarka Petrickova,5.0,23.0,1.0,4.0
Laura Elizabeth Placzek,,,,
Alison Reddy,,,,
Jenny Srikant,,,,
Kim Whittlesey,8.0,121.0,0.0,0.0
Mohamed Ali Belabbas,20.0,94.0,7.0,2.0
Wendy K Tam Cho,10.0,13.0,2.0,1.0
Sheldon Jacobson,89.0,144.0,10.0,3.0
Kohei Kishida,21.0,17.0,3.0,1.0
Daniel M. Liberzon,,,,
Jun Song,,,,
Tandy Warnow,63.0,391.0,9.0,5.0
Zhizhen Zhao,10.0,55.0,6.0,15.0
Stephanie Alexander,45.0,372.0,1.0,6.0
Ararat Babakhanian,10.0,9.0,0.0,0.0
I. David Berg,41.0,300.0,1.0,3.0
Maarten J. Bergvelt,24.0,117.0,2.0,3.0
Earl R. Berkson,,,,
Bruce C. Berndt,279.0,4899.0,12.0,23.0
Peter G. Braunfeld,,,,
John Brown,,,,
Robert F. Craggs,,,,
John P. D'Angelo,80.0,1081.0,7.0,14.0
Everett C. Dade,77.0,876.0,0.0,0.0
